Gene.symbol,adj.P.Val,P.Value,logFC
FOXE1,0.9643334,4.95E-01,8.17E-02
DPP3,0.9643334,4.95E-01,-1.76E-01
SLC27A5,0.9643334,4.95E-01,3.88E-02
SPATS2,0.9643334,4.95E-01,2.21E-01
DLEU2,0.9643334,4.95E-01,5.67E-03
,0.9643334,4.95E-01,-2.29E-02
HIC2,0.9643334,4.95E-01,4.13E-03
CD79B,0.9643334,4.95E-01,3.08E-02
ALDH6A1,0.9643334,4.95E-01,1.68E-01
C1orf210,0.9643334,4.95E-01,-7.91E-02
LOC101927958,0.9643334,4.95E-01,1.47E-02
RBM48,0.9643334,4.95E-01,1.31E-01
FKBP3,0.9643334,4.95E-01,3.75E-02
CLCN1,0.9643334,4.95E-01,1.43E-02
SEC14L5,0.9643334,4.95E-01,6.17E-02
GALNT8///KCNA6,0.9643334,4.95E-01,-5.08E-02
CYSLTR1,0.9643334,4.95E-01,1.89E-01
ANO8,0.9643334,4.95E-01,2.89E-02
,0.96435281,4.95E-01,-7.67E-02
C15orf41,0.96435281,4.95E-01,-2.14E-01
LOC728554///THOC3,0.96435281,4.95E-01,1.76E-01
STAU1,0.96435281,4.95E-01,7.71E-02
,0.96439589,4.95E-01,1.55E-02
MCM7,0.96439589,4.95E-01,1.43E-01
RAB21,0.96439589,4.95E-01,4.75E-03
TMEM106C,0.964419,4.95E-01,-9.31E-02
ELFN2,0.964419,4.95E-01,1.15E-01
,0.964419,4.95E-01,2.08E-02
IL16,0.964419,4.95E-01,4.31E-02
UGGT2,0.964419,4.95E-01,-5.49E-04
ARHGDIA,0.964419,4.95E-01,1.45E-01
SFN,0.964419,4.95E-01,4.40E-01
FOXRED2,0.964419,4.95E-01,1.19E-01
DCAF11,0.964419,4.95E-01,6.60E-02
GOLGA3,0.964419,4.95E-01,-1.17E-01
REPS2,0.964419,4.95E-01,1.48E-01
INSL3,0.964419,4.95E-01,2.14E-02
LOC105379186,0.964419,4.95E-01,1.93E-02
,0.964419,4.95E-01,-1.13E-02
LOC100506497,0.964419,4.95E-01,1.37E-02
DDAH1,0.964419,4.95E-01,7.15E-02
,0.96446987,4.95E-01,-1.98E-01
,0.96446987,4.95E-01,6.66E-03
DDX27///SS18,0.96446987,4.95E-01,-1.01E-01
CYB5RL,0.96446987,4.95E-01,1.69E-02
CHIC1,0.96446987,4.95E-01,9.50E-03
HNF4A,0.96446987,4.95E-01,1.04E-02
,0.96446987,4.95E-01,-3.74E-01
FGD6,0.96446987,4.95E-01,2.93E-01
LIMA1,0.96446987,4.95E-01,-2.27E-01
,0.96446987,4.95E-01,-7.73E-02
SFI1,0.96446987,4.96E-01,-1.12E-01
ZNF385D,0.96446987,4.96E-01,8.34E-02
CYP1A2,0.96446987,4.96E-01,2.14E-01
ZCCHC3,0.96446987,4.96E-01,-1.65E-01
ZXDB,0.96446987,4.96E-01,2.08E-01
COX7C,0.96448589,4.96E-01,-1.03E-01
WHSC1L1,0.96455971,4.96E-01,4.07E-02
ABR,0.96455971,4.96E-01,1.26E-03
,0.96455971,4.96E-01,-2.03E-02
GRAMD1A,0.96455971,4.96E-01,1.64E-01
,0.96455971,4.96E-01,-1.05E-01
TCP11L2,0.96455971,4.96E-01,1.39E-03
TRUB1,0.96455971,4.96E-01,-4.03E-02
EDNRB,0.96455971,4.96E-01,-2.12E-01
CDK19,0.96455971,4.96E-01,-1.76E-01
SV2C,0.96455971,4.96E-01,6.99E-03
,0.96455971,4.96E-01,1.16E-01
LINC00521,0.96455971,4.96E-01,9.34E-03
,0.96455971,4.96E-01,2.08E-01
GLI2,0.96455971,4.96E-01,6.40E-03
,0.96455971,4.96E-01,3.12E-02
CES1P1,0.96455971,4.96E-01,1.68E-02
KMT2B,0.96455971,4.96E-01,2.05E-02
BICD1,0.96458563,4.96E-01,1.61E-01
ICA1L,0.96458563,4.96E-01,5.56E-02
,0.96458563,4.96E-01,5.95E-03
IGSF3,0.96458563,4.96E-01,5.78E-03
FAM205BP///FAM205A,0.96460648,4.96E-01,-2.31E-02
CEP68,0.96469351,4.96E-01,4.62E-02
MAST2,0.96474319,4.96E-01,-8.49E-02
,0.96474319,4.96E-01,-5.87E-02
GNG4,0.96474319,4.96E-01,1.28E-01
MRPL1,0.96474319,4.96E-01,1.87E-01
,0.96474319,4.96E-01,1.98E-01
FAM160B1,0.96478349,4.96E-01,1.38E-01
,0.96482816,4.96E-01,6.03E-03
,0.96482816,4.96E-01,1.59E-02
RPL22,0.96482816,4.96E-01,-1.44E-01
,0.96482816,4.96E-01,9.24E-02
,0.96483548,4.96E-01,1.25E-02
LGALS8,0.96483548,4.96E-01,-1.75E-01
ALDH4A1,0.96483548,4.96E-01,-1.09E-01
TMED5,0.96483548,4.97E-01,-2.25E-01
LINC00327,0.96483548,4.97E-01,3.64E-02
,0.96483548,4.97E-01,1.27E-02
,0.96483548,4.97E-01,6.97E-03
TNRC18,0.96483548,4.97E-01,-1.01E-01
AFDN,0.96483548,4.97E-01,-1.67E-01
DNAH14,0.96483548,4.97E-01,1.20E-01
TAOK1,0.96483548,4.97E-01,9.62E-02
GATA6,0.96483548,4.97E-01,3.21E-02
DHX30,0.96483548,4.97E-01,-1.38E-01
,0.96483548,4.97E-01,-4.65E-02
SEH1L,0.96483548,4.97E-01,1.84E-01
,0.96483548,4.97E-01,-1.55E-01
HUWE1,0.96483548,4.97E-01,1.99E-03
,0.96483548,4.97E-01,1.19E-01
CSHL1,0.96490148,4.97E-01,1.72E-02
PLEKHA5,0.96490148,4.97E-01,-2.15E-01
TULP4,0.96500736,4.97E-01,-1.07E-01
LINC00304,0.96500736,4.97E-01,2.86E-02
CNOT2,0.96503701,4.97E-01,1.73E-01
LRRC74A,0.96503701,4.97E-01,4.54E-02
C5orf42,0.96516187,4.97E-01,6.11E-02
SLC4A8,0.96520341,4.97E-01,6.42E-02
,0.96520341,4.97E-01,9.32E-03
GEMIN6,0.96520341,4.97E-01,7.59E-02
E2F7,0.96520341,4.97E-01,2.04E-02
RPL6,0.96520341,4.97E-01,-7.37E-02
TFEC,0.96520341,4.97E-01,2.49E-01
MAPK8,0.96520341,4.97E-01,-2.25E-01
,0.96520341,4.97E-01,6.34E-03
NF2,0.96520341,4.97E-01,1.47E-01
,0.96520341,4.97E-01,-3.10E-01
NOTCH3,0.96520341,4.97E-01,-2.60E-01
CBARP,0.96520341,4.97E-01,1.89E-03
RXFP1,0.96520341,4.97E-01,1.62E-01
GAD2,0.96520341,4.97E-01,-2.77E-02
,0.96520341,4.97E-01,2.20E-01
,0.96520341,4.97E-01,-4.39E-03
SNORA5B///TBRG4,0.96520341,4.97E-01,2.14E-01
,0.96520341,4.97E-01,7.18E-02
DCHS1,0.96520341,4.97E-01,8.92E-02
SYNRG,0.96520341,4.97E-01,-1.15E-01
FAM228A,0.96520341,4.97E-01,1.00E-01
NLRX1,0.96520341,4.97E-01,-1.08E-01
HLA-C,0.96520341,4.97E-01,-1.65E-01
IGHD,0.96520341,4.98E-01,1.49E-02
RMST,0.96520341,4.98E-01,4.10E-02
NOX5,0.96520341,4.98E-01,8.72E-02
CDH19,0.96520341,4.98E-01,1.33E-01
AFF3,0.96520341,4.98E-01,2.23E-01
SCD,0.96520341,4.98E-01,-2.15E-01
ST6GALNAC5,0.96520341,4.98E-01,3.33E-02
LOC101929497,0.96520341,4.98E-01,1.89E-02
,0.96520341,4.98E-01,7.07E-03
ELK3,0.96520341,4.98E-01,3.67E-02
CCT8,0.96520341,4.98E-01,7.79E-03
,0.96520341,4.98E-01,-1.32E-01
CTTNBP2,0.96520341,4.98E-01,2.99E-01
,0.96520341,4.98E-01,-6.39E-03
PRMT1,0.96520341,4.98E-01,9.43E-03
COQ5,0.96520341,4.98E-01,1.62E-01
SYNE1,0.96520341,4.98E-01,1.68E-01
,0.96520341,4.98E-01,3.36E-03
BMS1P20,0.96520341,4.98E-01,-2.62E-03
SNU13,0.96520341,4.98E-01,3.80E-02
LINC00942,0.96520341,4.98E-01,1.58E-01
ZNF503-AS1,0.96520341,4.98E-01,-1.91E-01
MAP2,0.96520341,4.98E-01,6.93E-02
CYB5R1,0.96524531,4.98E-01,2.88E-02
,0.96524948,4.98E-01,7.86E-03
CCNF,0.96524948,4.98E-01,1.73E-02
TCF3,0.96527785,4.98E-01,9.80E-04
ELAVL1,0.96527785,4.98E-01,-8.89E-02
,0.96527785,4.98E-01,2.51E-02
CTH,0.96527785,4.98E-01,8.04E-03
PITPNC1,0.96527785,4.98E-01,3.00E-02
SMIM10L2B///SMIM10L2A,0.96527785,4.98E-01,1.28E-01
ORAOV1,0.96527785,4.98E-01,9.35E-02
PPARA,0.96527785,4.98E-01,8.71E-02
HR,0.96527785,4.98E-01,3.72E-02
KCNS2,0.96527785,4.98E-01,1.09E-03
KCTD7///RABGEF1,0.96527785,4.98E-01,2.87E-03
SLC38A7,0.96527785,4.98E-01,-1.63E-01
,0.96527785,4.98E-01,8.11E-03
CAB39L,0.96527785,4.98E-01,-1.73E-01
ZNF358,0.96527785,4.98E-01,-1.15E-02
ECHDC3,0.96527785,4.98E-01,2.56E-01
UNC13D,0.96527785,4.98E-01,1.12E-01
,0.96527785,4.98E-01,9.85E-03
LOC100996693///SPEG,0.96527785,4.98E-01,2.06E-02
LRRK1,0.96529079,4.98E-01,1.94E-02
IGF2BP1,0.96529079,4.98E-01,2.02E-01
UBAP2,0.96529079,4.98E-01,1.53E-01
,0.96529079,4.98E-01,2.78E-03
ENPP5,0.96529079,4.98E-01,-1.94E-01
IL10,0.96529079,4.98E-01,3.86E-03
CRYBB2P1,0.96537468,4.98E-01,1.09E-01
SAP30L,0.96537468,4.98E-01,1.20E-01
MAPK8,0.96537468,4.98E-01,5.06E-02
POU2F2,0.96537468,4.98E-01,1.68E-02
PDS5B,0.96537468,4.98E-01,-2.17E-01
,0.9654142,4.98E-01,8.38E-03
JRK,0.96545208,4.99E-01,-1.30E-01
GALC,0.96549884,4.99E-01,3.06E-01
CMTM6,0.96549884,4.99E-01,-1.21E-01
HRK,0.96549884,4.99E-01,6.98E-03
SIGLEC5,0.96549884,4.99E-01,1.88E-01
WDR37,0.96549884,4.99E-01,1.40E-01
PDCD7,0.96549884,4.99E-01,9.47E-04
DICER1,0.96549884,4.99E-01,-1.08E-01
MKKS,0.96549884,4.99E-01,2.18E-01
PDYN,0.96553539,4.99E-01,-4.59E-04
,0.96553995,4.99E-01,3.31E-02
UBXN10-AS1,0.96553995,4.99E-01,1.61E-01
PLP2,0.96553995,4.99E-01,2.56E-01
CPS1,0.96553995,4.99E-01,1.58E-01
BID,0.96561694,4.99E-01,-1.89E-01
SLC6A3,0.96562041,4.99E-01,1.06E-02
C1QTNF1-AS1,0.96565389,4.99E-01,1.57E-02
ATP5S,0.96566452,4.99E-01,-1.43E-01
SPINK7,0.96568929,4.99E-01,2.40E-01
,0.96568929,4.99E-01,2.06E-01
RAPGEF6,0.96568929,4.99E-01,-2.06E-01
GUSBP1,0.96569157,4.99E-01,2.71E-03
SPTBN4,0.96580258,4.99E-01,2.29E-02
PTDSS1,0.96580258,4.99E-01,1.18E-01
,0.96580258,4.99E-01,6.82E-02
IKZF1,0.96588644,4.99E-01,1.33E-01
RNF17,0.96588644,4.99E-01,2.70E-03
PLGLB1///PLGLB2,0.96598515,4.99E-01,-1.96E-01
LOC257396,0.96598515,4.99E-01,7.38E-02
CASC4,0.96598515,4.99E-01,-9.75E-03
SLC30A6,0.96598515,4.99E-01,1.00E-02
,0.96598515,4.99E-01,9.61E-02
CD79A,0.96598515,4.99E-01,2.21E-01
LINC00165,0.96598515,4.99E-01,5.26E-03
,0.96598515,4.99E-01,1.02E-01
TTC3P1///TTC3,0.96598515,4.99E-01,-1.62E-01
RIMBP2,0.96598515,4.99E-01,1.35E-01
SPAG11A,0.96598515,4.99E-01,7.86E-03
HECTD4,0.96598515,4.99E-01,-3.45E-02
BOC,0.96598515,4.99E-01,1.71E-01
EML2,0.96602548,5.00E-01,5.33E-02
GLP1R,0.96603936,5.00E-01,-2.69E-02
LOC100130872,0.96603936,5.00E-01,5.48E-02
COIL,0.96605355,5.00E-01,-1.53E-01
APMAP,0.96607145,5.00E-01,7.95E-02
ARHGAP5,0.96607145,5.00E-01,-2.40E-01
ITGB2,0.96608878,5.00E-01,-1.52E-01
CBARP,0.96608878,5.00E-01,-4.86E-02
CERS3,0.96608878,5.00E-01,2.54E-01
RAD54L2,0.96608878,5.00E-01,1.28E-01
PSMB1,0.96608878,5.00E-01,-8.34E-02
PICALM,0.96608878,5.00E-01,8.82E-02
PPWD1,0.9660981,5.00E-01,-1.88E-01
NACC1,0.96619219,5.00E-01,-8.69E-02
TNPO1,0.96619219,5.00E-01,8.66E-02
SMCR8,0.96619219,5.00E-01,1.28E-01
,0.96620376,5.00E-01,1.11E-03
DDX3X,0.96620376,5.00E-01,-1.86E-01
CFAP61,0.96620376,5.00E-01,1.36E-01
,0.96626167,5.00E-01,1.26E-01
UBAP1,0.96626167,5.00E-01,1.52E-01
KRTAP4-8,0.96626167,5.00E-01,1.04E-02
UNC119,0.96626167,5.00E-01,-1.33E-01
PRSS3P2,0.96626167,5.00E-01,-2.71E-01
,0.96626167,5.00E-01,7.17E-02
KCNH8,0.96626167,5.00E-01,1.02E-01
PHIP,0.96626167,5.00E-01,-1.21E-01
NUTM2B-AS1///NUTM2A-AS1,0.96626167,5.00E-01,-1.83E-01
,0.96626167,5.00E-01,2.80E-02
LOC102724426///USP4,0.96626167,5.00E-01,1.92E-02
IGFBP2,0.96626167,5.00E-01,-4.08E-01
PRR11,0.96639902,5.00E-01,-1.39E-01
HBG2///HBG1,0.96641709,5.00E-01,-9.83E-02
,0.96652565,5.00E-01,-2.15E-02
,0.96659463,5.00E-01,-1.78E-02
GANC,0.96659463,5.00E-01,1.44E-01
ICMT,0.96659463,5.00E-01,1.82E-01
DUSP19,0.96660468,5.00E-01,2.27E-03
,0.96660468,5.01E-01,1.84E-01
EARS2,0.96660468,5.01E-01,1.31E-01
TPM3,0.96660468,5.01E-01,9.99E-02
HIF3A,0.96660468,5.01E-01,6.35E-03
RAB5A,0.96660468,5.01E-01,2.22E-01
,0.96660468,5.01E-01,3.37E-02
SRGAP1,0.96661308,5.01E-01,-4.72E-02
TMEM74,0.96669878,5.01E-01,1.57E-01
,0.96669878,5.01E-01,-4.90E-01
STAT3,0.96672782,5.01E-01,4.65E-02
,0.96672782,5.01E-01,1.12E-01
,0.96672782,5.01E-01,-7.53E-02
ORC5,0.96672782,5.01E-01,1.81E-02
,0.96672782,5.01E-01,9.03E-03
YIPF6,0.9668021,5.01E-01,-1.54E-01
ANXA2,0.9668021,5.01E-01,2.34E-02
CENPBD1,0.9668021,5.01E-01,1.12E-01
BHLHB9,0.9668021,5.01E-01,1.68E-01
FCER1A,0.9668021,5.01E-01,4.05E-03
,0.96697245,5.01E-01,1.79E-02
C14orf28,0.96697245,5.01E-01,-1.18E-01
,0.96697245,5.01E-01,1.83E-02
TGIF1,0.96697245,5.01E-01,9.53E-03
TNFAIP3,0.96697245,5.01E-01,3.20E-01
,0.96697245,5.01E-01,-2.43E-01
,0.96697245,5.01E-01,4.44E-02
,0.96705069,5.01E-01,1.10E-01
CFTR,0.96705069,5.01E-01,3.52E-03
C17orf105,0.96705139,5.01E-01,1.15E-02
LRRC29,0.96708304,5.01E-01,1.44E-03
ZNF44,0.96708304,5.01E-01,-5.54E-02
FAM184A,0.96708304,5.01E-01,1.39E-01
ESPL1,0.96708304,5.01E-01,1.41E-01
SYNCRIP,0.96710838,5.01E-01,3.22E-01
RNASE3,0.96710838,5.01E-01,3.20E-03
AKT3,0.96710838,5.01E-01,1.12E-01
,0.96710838,5.01E-01,8.48E-03
,0.96710838,5.01E-01,2.26E-02
GPR146,0.96710838,5.01E-01,1.08E-01
NKTR,0.96721328,5.02E-01,-2.05E-01
KSR2,0.96721328,5.02E-01,-1.59E-01
,0.96735162,5.02E-01,2.38E-03
FOXN4,0.96735162,5.02E-01,5.00E-02
KDM7A,0.96735162,5.02E-01,-1.97E-01
CEP152,0.96735162,5.02E-01,-1.87E-01
,0.96735162,5.02E-01,-1.07E-02
SNAPC5,0.96735162,5.02E-01,2.50E-03
NXPH3,0.96735162,5.02E-01,4.84E-02
LYN,0.96735162,5.02E-01,2.38E-01
MED23,0.96741984,5.02E-01,-1.74E-01
DRAXIN,0.96741984,5.02E-01,3.26E-02
BMS1P5,0.96742722,5.02E-01,2.54E-02
ATG7,0.96742722,5.02E-01,8.10E-02
SLC35A4,0.96750783,5.02E-01,-1.56E-01
CENPBD1P1,0.96750783,5.02E-01,8.59E-02
,0.96750783,5.02E-01,1.01E-02
PRKX,0.96750783,5.02E-01,2.47E-01
TOR1A,0.96750783,5.02E-01,1.07E-01
PIP4K2B,0.96751966,5.02E-01,1.27E-01
ABCA9,0.96751966,5.02E-01,4.69E-02
SLC2A5,0.96751966,5.02E-01,2.61E-02
,0.96751966,5.02E-01,-1.01E-02
IL17C,0.96751966,5.02E-01,8.67E-02
NCOA7,0.96751966,5.02E-01,-2.08E-01
EMX1,0.96751966,5.02E-01,2.89E-02
THAP7-AS1,0.96751966,5.02E-01,1.43E-03
NANS,0.96751966,5.02E-01,-1.34E-02
L3MBTL1,0.96751966,5.02E-01,4.96E-02
TUBGCP2,0.96757442,5.02E-01,7.14E-02
,0.96757442,5.02E-01,4.74E-03
,0.96759535,5.02E-01,6.37E-02
B3GAT2,0.96772993,5.02E-01,1.82E-01
LRRN3,0.96775021,5.02E-01,2.47E-01
CACTIN,0.96786569,5.02E-01,-8.08E-02
AK5,0.96789513,5.02E-01,1.12E-01
IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1,0.96802207,5.03E-01,4.85E-01
,0.96805015,5.03E-01,-1.65E-03
EMX2OS,0.96805598,5.03E-01,-2.03E-01
ZDHHC14,0.96807253,5.03E-01,8.26E-02
POP7,0.96812595,5.03E-01,1.75E-01
,0.96812595,5.03E-01,6.39E-02
FANCM,0.96812595,5.03E-01,1.01E-02
,0.96812595,5.03E-01,-1.60E-03
JAM3,0.96812595,5.03E-01,1.70E-02
UGGT1,0.96812595,5.03E-01,7.26E-02
PSMB4,0.96826435,5.03E-01,1.78E-01
FBXL17,0.9682664,5.03E-01,-2.22E-01
MBNL2,0.9682664,5.03E-01,2.49E-03
HMGB1,0.9682664,5.03E-01,9.20E-02
NKRF,0.9682664,5.03E-01,-6.45E-02
LY6G6C,0.9682664,5.03E-01,7.60E-02
AK5,0.9682664,5.03E-01,7.49E-02
LOC105370178,0.9682664,5.03E-01,-1.15E-02
WWC1,0.9682664,5.03E-01,-1.26E-01
ACKR2,0.9682664,5.03E-01,1.54E-02
DNTTIP1,0.9682664,5.03E-01,2.64E-01
RAB3IP,0.9682664,5.03E-01,3.54E-01
TSNAXIP1,0.9682664,5.03E-01,2.40E-02
KCNH6,0.9682664,5.03E-01,5.27E-03
,0.9682664,5.03E-01,5.80E-03
FAM217A,0.9682664,5.03E-01,1.88E-03
MGAT4B,0.9682664,5.03E-01,-1.42E-01
CHMP6,0.9682664,5.03E-01,1.10E-01
,0.9682664,5.03E-01,1.37E-02
PRDX5,0.9682664,5.03E-01,-1.41E-01
PSMD5,0.96831968,5.03E-01,1.78E-02
ADAMTS5,0.96831968,5.03E-01,1.16E-01
ZNF649-AS1,0.96833539,5.03E-01,-3.27E-02
LOC101927278,0.96834971,5.03E-01,1.61E-02
RORB,0.96839628,5.03E-01,9.15E-02
ARHGAP42,0.96840066,5.03E-01,-3.35E-01
ERVK3-1///ZNF8,0.96840066,5.03E-01,1.83E-01
UBN1,0.96840066,5.03E-01,-1.34E-01
SMIM4,0.96840066,5.03E-01,-5.82E-02
ZNF418,0.96840066,5.03E-01,5.59E-02
TSSK2///DGCR14,0.96840066,5.03E-01,2.08E-02
CD209,0.96840066,5.03E-01,8.26E-03
CABP5,0.96840066,5.04E-01,1.36E-02
CTTNBP2NL,0.96840066,5.04E-01,-2.02E-01
,0.96840066,5.04E-01,1.94E-01
ETV5,0.96840066,5.04E-01,7.38E-02
CNOT9,0.96843751,5.04E-01,4.79E-02
,0.96846303,5.04E-01,-1.40E-03
TTC39B,0.96850856,5.04E-01,2.65E-01
,0.96850856,5.04E-01,9.45E-04
CHODL,0.96850856,5.04E-01,1.03E-01
PYHIN1,0.96850856,5.04E-01,3.11E-01
,0.96850856,5.04E-01,1.29E-01
STAC3,0.96850856,5.04E-01,7.54E-02
,0.96850856,5.04E-01,1.05E-03
INTS7,0.96850856,5.04E-01,8.07E-02
PLEKHH2,0.96850856,5.04E-01,3.02E-03
RBM33,0.96850856,5.04E-01,-5.50E-02
PTMA,0.96850856,5.04E-01,-5.33E-02
MID1IP1,0.96850856,5.04E-01,-1.62E-01
ANGPTL3,0.96850856,5.04E-01,1.10E-02
SENP5,0.96850856,5.04E-01,2.70E-03
STK32A,0.96850856,5.04E-01,-2.42E-01
FKBP7,0.96850856,5.04E-01,3.57E-02
CCDC190,0.96850856,5.04E-01,1.57E-01
,0.96850856,5.04E-01,5.97E-02
WNT2B,0.96850856,5.04E-01,8.00E-03
GRIK5,0.96850856,5.04E-01,3.64E-02
,0.96850856,5.04E-01,4.08E-02
USP6NL,0.96850856,5.04E-01,1.87E-02
ZNF536,0.96850856,5.04E-01,8.42E-02
,0.96850856,5.04E-01,3.56E-03
ADAMTS8,0.96850856,5.04E-01,4.17E-02
PRL,0.96850856,5.04E-01,1.86E-01
IFT81,0.96850856,5.04E-01,-1.57E-02
,0.96850856,5.04E-01,2.74E-02
TBRG1,0.96850856,5.04E-01,-4.31E-02
ADAMTS16,0.96850856,5.04E-01,6.17E-02
ZNF746,0.96850856,5.04E-01,-8.31E-02
CACNB1,0.96850856,5.04E-01,-3.07E-02
MIR6834///PFDN6,0.96850856,5.04E-01,1.62E-01
LOC101929597///TBCD,0.96850856,5.04E-01,1.16E-02
PDCD11,0.96850856,5.04E-01,-9.39E-02
ADAMTS8,0.96855112,5.04E-01,9.01E-03
ALG5,0.96855321,5.04E-01,-1.40E-01
CCDC88C,0.96855321,5.04E-01,2.24E-02
NIPAL3,0.96855321,5.04E-01,2.85E-02
,0.96855321,5.04E-01,9.36E-03
ELK1,0.96855321,5.04E-01,-4.51E-04
ZNF252P-AS1,0.96858236,5.04E-01,-8.77E-04
IGHG1,0.96858236,5.04E-01,1.52E-02
IL11,0.96867908,5.05E-01,1.56E-02
LOC285181,0.96867908,5.05E-01,2.83E-03
ITGAX,0.9687753,5.05E-01,2.07E-02
ITSN1,0.9687753,5.05E-01,3.31E-03
SRF,0.96878175,5.05E-01,1.12E-01
ERI3,0.96879083,5.05E-01,1.14E-01
,0.96879083,5.05E-01,3.48E-02
HNRNPU,0.96879083,5.05E-01,1.55E-02
,0.96879083,5.05E-01,-1.28E-01
,0.96879083,5.05E-01,1.58E-03
KIAA1161,0.96879083,5.05E-01,1.64E-02
,0.96879083,5.05E-01,2.76E-02
LRP10,0.96879083,5.05E-01,-1.39E-01
TRAF3IP2-AS1,0.96879083,5.05E-01,4.37E-02
UQCC1,0.96879083,5.05E-01,-1.59E-01
SCARA5,0.96879083,5.05E-01,1.26E-01
KDM6A,0.96879083,5.05E-01,1.20E-01
MRAP2,0.96879083,5.05E-01,2.52E-01
MBD1,0.96879083,5.05E-01,-5.81E-02
KLHDC4,0.96879083,5.05E-01,-2.79E-02
CCDC185,0.96879083,5.05E-01,6.28E-02
PLA2G12A,0.96879083,5.05E-01,-1.83E-01
RBMX2,0.96879083,5.05E-01,7.32E-02
,0.96879083,5.05E-01,2.82E-02
BLVRA,0.96879083,5.05E-01,3.40E-02
ZNF585A,0.96879083,5.05E-01,2.00E-01
,0.96879083,5.05E-01,7.22E-03
TGOLN2,0.96879083,5.05E-01,9.70E-02
LINGO1,0.96879083,5.05E-01,1.46E-01
FLVCR1-AS1,0.96879083,5.05E-01,-1.95E-01
C11orf31,0.96879083,5.05E-01,9.30E-02
POU5F1B,0.96879083,5.05E-01,-1.14E-01
CUL5,0.96879083,5.05E-01,6.93E-02
,0.96879083,5.05E-01,4.73E-02
,0.96879083,5.05E-01,6.25E-02
LINC01554,0.96879083,5.05E-01,8.52E-03
FUT8,0.96879083,5.05E-01,-1.59E-01
STXBP5L,0.96879083,5.05E-01,1.38E-02
SLC30A5,0.96879083,5.05E-01,1.66E-01
SMPD1,0.96879083,5.05E-01,4.59E-02
DDX60L,0.96879083,5.05E-01,3.24E-01
PGLYRP4,0.96879083,5.05E-01,1.16E-01
,0.96879083,5.05E-01,8.33E-03
CNNM2,0.96880523,5.05E-01,-3.99E-02
,0.96880657,5.05E-01,2.54E-03
LOC101927137///KIAA1456,0.96880852,5.05E-01,5.67E-02
,0.96880852,5.05E-01,-1.13E-01
ABCC9,0.96880852,5.05E-01,1.34E-02
SALL1,0.96880852,5.05E-01,5.38E-02
,0.96880852,5.05E-01,3.14E-03
,0.9688298,5.05E-01,1.88E-01
NUCKS1,0.9688298,5.05E-01,9.12E-02
ARID1A,0.96883577,5.06E-01,2.83E-02
,0.96883577,5.06E-01,3.92E-01
HS6ST2,0.96883577,5.06E-01,-3.23E-01
MLST8,0.96883577,5.06E-01,1.04E-01
SRSF3,0.96883577,5.06E-01,6.69E-02
ELK1,0.96883577,5.06E-01,1.04E-01
PCYT1B,0.96883577,5.06E-01,1.09E-01
FAM199X,0.96883577,5.06E-01,2.41E-01
TOR1B,0.96883577,5.06E-01,1.62E-01
SNORA74A,0.96884524,5.06E-01,7.01E-03
CABP7,0.96884638,5.06E-01,2.27E-01
ETV5,0.9688954,5.06E-01,6.98E-03
CCDC28A,0.96892939,5.06E-01,1.96E-01
LOC101929583///LOC101928195///LOC100996643///LOC100133920///LOC286297,0.96892939,5.06E-01,7.92E-03
TMED2,0.96892939,5.06E-01,8.27E-02
CHST6,0.96892939,5.06E-01,9.52E-03
CACNG8,0.96892939,5.06E-01,1.09E-02
,0.96892939,5.06E-01,-1.44E-01
RAB30-AS1,0.96892939,5.06E-01,1.16E-01
HEATR6,0.96897893,5.06E-01,4.51E-03
CARD8-AS1,0.96897893,5.06E-01,2.00E-01
KIF25,0.96897893,5.06E-01,2.27E-02
,0.96897893,5.06E-01,5.51E-02
LOC101928269///LOC100506403///RUNX1,0.96901312,5.06E-01,6.61E-02
NR2E1,0.96902365,5.06E-01,1.17E-01
TACR2,0.96902365,5.06E-01,5.42E-02
MYH4,0.96902365,5.06E-01,1.52E-02
DCPS,0.96906853,5.06E-01,-1.59E-01
RBM48,0.96906853,5.06E-01,1.54E-02
LRRC36,0.96907451,5.06E-01,8.30E-03
LOC101926963,0.96907451,5.06E-01,2.96E-02
OLMALINC,0.96909453,5.06E-01,9.81E-02
RAB20,0.96917597,5.06E-01,-2.42E-01
SREK1IP1,0.96921365,5.06E-01,-1.15E-01
TARP///TRGV9///TRGC2,0.96925234,5.06E-01,2.70E-01
NDUFV3,0.96925234,5.06E-01,-6.85E-02
LOC90768,0.9692575,5.06E-01,1.11E-01
,0.9692575,5.06E-01,-2.04E-01
KIAA0040,0.9692575,5.06E-01,-1.99E-01
RTKN2,0.9692575,5.06E-01,2.69E-02
CPXCR1,0.9692575,5.06E-01,1.35E-02
USP49,0.9692575,5.07E-01,3.62E-02
C6orf52,0.9692575,5.07E-01,3.42E-02
KCNQ4,0.9692575,5.07E-01,1.32E-01
SRRM2-AS1,0.9692575,5.07E-01,3.68E-03
HNRNPDL,0.9692575,5.07E-01,1.41E-01
TRIM17,0.9692575,5.07E-01,-1.40E-02
TRIM66,0.9692575,5.07E-01,-8.81E-02
LYRM7,0.9692575,5.07E-01,5.50E-02
KCNMA1-AS1,0.9692575,5.07E-01,1.17E-02
,0.9692575,5.07E-01,3.04E-02
